trial_name,challenge_id,N,header_us,read_A_us,read_B_us,compute_us,send_us,total_us,answer
int_reader_string_buffer_v1,4,128,2827948,706,404,0,6,2829067,32029683
int_reader_string_buffer_v1,5,128,10014405,820,390,0,9,10015626,31769596
int_reader_string_buffer_v1,6,128,10009135,727,387,0,5,10010255,32587892
int_reader_string_buffer_v1,7,128,10009196,687,451,0,6,10010342,29938106
int_reader_string_buffer_v1,8,128,10013676,1121,808,1,9,10015617,33190353
int_reader_string_buffer_v1,9,128,10008905,722,427,0,4,10010060,30903304
int_reader_string_buffer_v1,10,128,10012529,771,384,0,7,10013693,29106877
int_reader_string_buffer_v1,11,128,10011660,659,406,0,6,10012732,33246597
int_reader_string_buffer_v1,12,128,10008240,737,384,0,4,10009367,30958199
int_reader_string_buffer_v1,13,128,10007934,739,595,1,23,10009293,33177484
